Gender,Age (Years),Institutional Designation for service holders/Bachelor (Third/Forth Year)/Master's ,Name of the Institute,Institute_Revised,Institute_cetegory ,Highest Educational Qualification,Area of studies:,Present country of residence,No. of Publications (Local peer-reviewed),No. of Publications (International peer-reviewed),Occupation:
Male,26,Master’s ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Biochemistry,Bangladesh ,0,0,Student (Local)
Male,26,Master's,Biological Sciences,Biological Sciences,Public University (General),Bachelor,Biochemistry,Bangladesh,No,No,Student (Local)
Male,23,Forth Year,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),HSC,"Microbiology, Biotechnology/Genetic Engineering, Virology, Immunology, Public health",Bangladesh ,N/A,N/A,Student (Local)
Male,29,Assitant Manager Quality Control,Eskayef Pharmaceuticals Ltd,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Service (Local/abroad)
Female,23,Bachelor(Fourth year),Noakhali science and technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),HSC,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Virology, Immunology, Public health",Bangladesh ,No,No,Student (Local)
Male,25,Master's,Jahangirnagar University,Jahangirnagar University,Public University (General),Masters/MS,Biochemistry,Bangladesh,Zero,Zero,Student (Local)
Female,24,Forth year,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),HSC,Microbiology,Bangladesh ,None,None,Student (Local)
Female,22,Third,Gonoshasthaya somaj vittik medical College     ,Gono Bishwabidyalay,Private University,Bachelor,Microbiology,Bangladesh ,Nothing ,Nothing ,Student (Local)
Male,23,Master’s ,Noakhali Science And Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh ,0,0,Service (Local/abroad)
Male,23,Forth Year,Noakhali Science and Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Male,35,Senior Research Officer,Icddrb,"icddr,b",Research Organization,Masters/MS,Social Science,Bangladesh,0,3,Researcher (Local/abroad)
Female,26,Microbiologist,Eskayef Pharmaceuticals,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh ,NA,2,Service (Local/abroad)
Male,22,Forth year,NSTU,North South University,Private University,HSC,Microbiology,Bangladesh ,no,no,Student (Local)
Male,25,Masters,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Pharmacy,Bangladesh,0,0,Student (Local)
Male,29,"Sr. Executive, Quality Control",Prome Agro & Foods LTD,Prome Agro & Foods LTD,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh ,N/A,N/A,Service (Local/abroad)
Male,27,Masters,Soonchunhyang University ,Soonchunhyang University,Abroad University,Masters/MS,Microbiology,South Korea,0,0,Researcher (Local/abroad)
Male,36,Assistant Professor,North South University,North South University,Private University,PhD,"Microbiology, Biotechnology/Genetic Engineering, Immunology",Bangladesh,14,15,Teacher (Local)
Male,31,Sr. Asst. Manager- QC,SK+F,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,"Biotechnology/Genetic Engineering, Pharmacy",Bangladesh,Nil,Nil,Service (Local/abroad)
Female,24,Bachelor 3rd year,Gono Bishwabidyalay ,Gono Bishwabidyalay,Private University,"Bachelor, Masters/MS",Microbiology,Nothing ,Nothing ,Nothing ,Student (Local)
Female,23,Forth year,North south university ,North South University,Private University,Bachelor,Microbiology,Bangladesh ,None,None,Student (Local)
Female,23,Bachelor 3rd year,Gono Bishwabidyalay,Gono Bishwabidyalay,Private University,Bachelor,Microbiology,Bangladesh ,nothing ,nothing ,Student (Local)
Male,23,3rd,JU,Jahangirnagar University,Public University (General),HSC,"Microbiology, Biochemistry, Virology, Immunology","Dhaka,BD",0,00,Student (Local)
Male,33+,Assistant professor,NSU,North South University,Private University,PhD,Microbiology,Bangladesh,0,6,Teacher (Local)
Male,28,Lecturer,Noakhali Science & Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh,5,5,Teacher (Local)
Male,29,Master's ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Biochemistry,USA,11,8,Researcher (Local/abroad)
Male,25,M.Sc,Gono Bishwabidyalay ,Gono Bishwabidyalay,Private University,Masters/MS,Microbiology,Bangladesh ,No,No,Student (Local)
Female,25,Eskayef pharmaceuticals Ltd ,Eskayef pharmaceuticals Ltd ,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,Bachelor,Pharmacy,Bangladesh ,0,0,Service (Local/abroad)
Male,20,Third,Gono Bishwabidyalay ,Gono Bishwabidyalay,Private University,HSC,Microbiology,Bangladesh ,Parents ,Parents,Student (Local)
Male,26,4th year,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Biochemistry,Bangladesh ,0,0,Student (Local)
Male,24,Third,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Biochemistry,Bangladesh ,00,00,Student (Local)
Male,26,Master's student,Jahangirnagar University,Jahangirnagar University,Public University (General),Bachelor,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Pharmacy, Virology, Immunology, Public health",Bangladesh,0,4,Student (Local)
Female,23 years,Bechelor(forth year),Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),"HSC, Bachelor",Microbiology,"Noakhali, Bangladesh ","None, but highly interested ",None ,Student (Local)
Male,23,Fourth year,North South University,North South University,Private University,Bachelor,Biochemistry,Bangladesh,Not yet,Not yet,Student (Local)
Male,25,Master’s ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Biochemistry,Bangladesh ,Not yet,Not yet,Student (Local)
Male,25,Masters,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Biochemistry,Bangladesh ,Zero,Zero,Student (Local)
Female,24,Bachelor(forth year),North South University ,North South University,Private University,Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,28,Masters,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,United Kingdom ,1,1,Researcher (Local/abroad)
Male,40,Service,Jahangirnagar University ,Jahangirnagar University,Public University (General),PhD,Zoology,Bangladesh,24,16,Teacher (Local)
Male,22,Bachelor (Fourth Year),Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),HSC,Microbiology,Bangladesh,None,None,Student (Local)
Female,21,Third year ,Gono Bishwabidyalay ,Gono Bishwabidyalay,Private University,Bachelor,Microbiology,Bangladesh ,Nothing ,Nothing ,Student (Local)
Male,30,Masyers,Jahangir Nagar University,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,No,No,Service (Local/abroad)
Female,25,Master’s ,Noakhali Science And Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh ,One,No,Student (Local)
Female,45,Faculty Member,North South University,North South University,Private University,PhD,Biochemistry,Bangladesh,0,4,Teacher (Local)
Male,25,bachelor,mbstu,Mawlana Bhasani Science And Technology University,Public University (Science and Tecj),Bachelor,Biochemistry,Bangladesh,0,0,Student (Local)
Male,36,Research Associate ,University of Dhaka,Dhaka University,Public University (General),Masters/MS,"Microbiology, Biotechnology/Genetic Engineering, Zoology, Fisheries and Marine Science",Bangladesh,2,5,Researcher (Local/abroad)
Male,22,Fourth Year,Noakhali Science & Technology University   ,Noakhali Science and Technology University,Public University (Science and Tecj),HSC,Microbiology,Bangladesh ,None,None,Student (Local)
Male,27,Bachelor ( second year),Primeasia University ,Primeasia University,Private University,HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Male,23,Bs'c in microbiology 4th year,Primeasia University ,Primeasia University,Private University,Bachelor,Microbiology,Bangladesh ,Nil,Nil,Student (Local)
Female,29,PhD candidate ,Universiti Putra Malaysia ,Universiti Putra Malaysia,Abroad University,Masters/MS,Cancer Biology ,Malaysia ,One ,Ten ,Researcher (Local/abroad)
Female,37,Assistant Professor,East West University,East West University,Private University,PhD,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering",Bangladesh,3,2,Teacher (Local)
Male,21,Master’s running ,Primeasia University ,Primeasia University,Private University,Bachelor,Microbiology,Bangladesh ,1,None,Student (Local)
Female,26,Master's ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Pharmacy,"Dhaka, Bangladesh ",3,2,Student (Local)
Female,27,"Officer, R&DA",Incepta Pharmaceuticals Limited ,Incepta Pharmaceuticals Limited,Phermaceuticals Company,Masters/MS,Biotechnology/Genetic Engineering,Bangladesh ,2,0,Service (Local/abroad)
Female,22,Honours -4th year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Biotechnology/Genetic Engineering,Bangladesh ,None,None,Student (Local)
Male,21,Bachelor (Second Year),North South University,North South University,Private University,HSC,Microbiology,Bangladesh,N/A,N/A,Student (Local)
Female,23,Bachelors Fourth Year,North South University,North South University,Private University,HSC,Microbiology,Bangladesh,None,None,Student (Local)
Male,23,Bachelor ( Fourth Year),North South University,North South University,Private University,Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Female,29,Lecturer,North South University ,North South University,Private University,Masters/MS,Microbiology,Bangladesh,0,0,Teacher (Local)
Male,34,Master's,Stamford university bangladesh,Stamford University Bangladesh,Private University,Masters/MS,"Microbiology, Food and Nutrition",BD,2,1,Service (Local/abroad)
Male,38,Masters,University of Dhaka,Dhaka University,Public University (General),PhD,"Microbiology, Biotechnology/Genetic Engineering",Canada,0,12,Researcher (Local/abroad)
Male,21,Honor's 3rd year,Tejgaon college,"Tejgoan College, Dhaka",Public University (General),HSC,Biochemistry,0,0,0,Student (Local)
Female,29,Master's,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,Bangladeshi,2,1,Teacher (Local)
Female,23,4th year,North South University,North South University,Private University,Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Female,26year,Master’s ,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh ,No,No,Student (Local)
Female,44,Associate Professor,North South University,North South University,Private University,PhD,Microbiology,Bangladesh,10,10,Teacher (Local)
Male,25,Master’s ,NSTU,North South University,Private University,Bachelor,Microbiology,Bangladesh ,None,None,Service (Local/abroad)
Male,28,Master's,Jagannath University ,Jagannath University,Public University (General),Masters/MS,"Microbiology, Biotechnology/Genetic Engineering",Gazipur ,No,No,Service (Local/abroad)
Female,19,"Bachelor, First year.",Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh. ,0,0,Student (Local)
Male,27,PhD,Tokyo University of Science ,Tokyo University of Science,Abroad University,Masters/MS,Biotechnology/Genetic Engineering,Japan,1,1,Researcher (Local/abroad)
Male,30,Master's,Md. Abdullah Al Noman Khan,Jahangirnagar University,Public University (General),Masters/MS,Biotechnology/Genetic Engineering,Germany,1,2,Student (Local)
Female,28,Student,Jahangirnagar University,Jahangirnagar University,Public University (General),Masters/MS,Biotechnology/Genetic Engineering,Japan,0,0,Student (Local)
Female,28,Master's,Stamford University Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,Microbiology,North Sahjahanpur,No,No,Student (Local)
Male,26,Executive ,Eskayef Pharmaceuticals ,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,Biotechnology/Genetic Engineering,Bangladesh ,0,0,Service (Local/abroad)
Male,26,Master's ,NSTU,North South University,Private University,Masters/MS,Microbiology,BD,None ,None,Student (Local)
Male,25,Master's,UNIVERSITY OF DHAKA,Dhaka University,Public University (General),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,26,Master’s ,Jashore University of Science and Technology ,Jashore University of Science & Technology,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,38, MS, University of Dhaka,Dhaka University,Public University (General),Masters/MS,"Microbiology, Virology",South Korea,5,6,Researcher (Local/abroad)
Female,25,Lecturer,BRAC University,BRAC,Private University,Masters/MS,Microbiology,Bangladesh,1,3,Teacher (Local)
Female,27,Alumni,University of Dhaka,Dhaka University,Public University (General),Masters/MS,Microbiology,Bangladesh,0,0,Service (Local/abroad)
Male,24,Master's,JUST,Jashore University of Science & Technology,Public University (Science and Tecj),Masters/MS,Microbiology,BD,No,No,Student (Local)
Female,25,Master's,University of Dhaka,Dhaka University,Public University (General),Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Female,25,Masters ,Jahangirnagar University   ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,25,Master’s ,Jashore University of science and technology ,Jashore University of Science & Technology,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh ,0,0,Student (Local)
Female,25,Master's,Jashore University of Science & Technology ,Jashore University of Science & Technology,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,28,Lecturer,Comilla University,Comilla  University,Public University (General),Masters/MS,Pharmacy,Bangladesh,2,10,Teacher (Local)
Male,36,Scientist ,Repligen Corporation ,Repligen Corporation,Abroad University,PhD,Cell biology ,USA,1,6,Researcher (Local/abroad)
Female,22,Fourth year,Brac University ,BRAC,Private University,Bachelor,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,27,Executive,Square Pharmaceuticals ltd,Square Pharmaceuticals Ltd,Phermaceuticals Company,Masters/MS,Pharmacy,Bangladesh,2,0,Service (Local/abroad)
Male,26,Masters,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,"Dhaka, Bangladesh",None,None,Student (Local)
Male,28,Master’s ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Pharmacy,United Kingdom ,0,0,Service (Local/abroad)
Male,26,Not employed ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh ,0,1,Student (Local)
Female,26,Masters,Jashore University of Science & Technology ,Jashore University of Science & Technology,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh ,No,No,Student (Local)
Female,25,Master student ,Ju,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,None,None,Student (Local)
Male,25,Master’s ,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh ,0,1,Student (Local)
Female,29,Masters,SAU,Sher -e-Bangla Agricultural University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,5,0,Teacher (Local)
Male,28,Master's,University of Hawaii at Manoa,University of Hawaii at Manoa,Abroad University,Masters/MS,Veterinary Science,United States,0,6,Researcher (Local/abroad)
Male,32,Assistant Professor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Fisheries and Marine Science,Spain,5,4,Teacher (Local)
Male,28,DVM,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,No,No,Service (Local/abroad)
Male,27,MS,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,2 (Conference Proceedings),1,Student (Local)
Male,28,Bachelor,SAU,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,No,No,Service (Local/abroad)
Male,28,Assistant manager,Eskayef Pharmaceuticals ltd,Eskayef Pharmaceutical Ltd.,Phermaceuticals Company,Masters/MS,Veterinary Science,Bangladesh,1,1,Service (Local/abroad)
Male,31,Lecturer ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Fisheries and Marine Science,Bangladesh ,1,3,Teacher (Local)
Male,28,Service holder,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Biochemistry,Bangladesh ,2,2,Teacher (Local)
Male,29,Lecturer ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agricultural Engineering & Technology,Bangladesh ,N/A ,One ,Teacher (Local)
Male,27,Masters ,USask,USask,Abroad University,Masters/MS,Veterinary Science,Canada,1,1,Student (Local)
Male,29,Bachelor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh,No,No,Student (Local)
Male,35,Assistant Professor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),PhD,Veterinary Science,Bangladesh,5,20,Teacher (Local)
Female,28,Master’s ,Sylhet  Agricultural  University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh ,1,1,Student (Local)
Male,27,Master's,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,00,00,Service (Local/abroad)
Male,29,Master's,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,0,3,Teacher (Local)
Female,29,Lecturer,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Fisheries and Marine Science,Bangladesh,05,03,Teacher (Local)
Male,22,4th year,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh,0,2,Student (Local)
Male,26,MS Fellow ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,2,2,Student (Local)
Male,25,Master’s ,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh ,Nill,No,Student (Local)
Male,26,Master's,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,None,None,Student (Local)
Male,25,Master's,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh,0,0,Student (Local)
Male,23,3rd,University of Dhaka,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,1,0,Student (Local)
Male,22,Third Year,University of Dhaka ,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Male,29,Bachelor,Sylhet Agricultural Univetsity,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh,1,0,Student (Local)
Male,28,MS,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Microbiology,Dinajpur,02,00,Service (Local/abroad)
Male,27,Lecturer ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh ,2,2,Teacher (Local)
Male,31,DVM,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),DVM,Veterinary Science,Bangladesh ,0,0,Service (Local/abroad)
Female,31,Service Holder,Comilla University,Comilla  University,Public University (General),PhD,Pharmacy,Bangladesh,4,8,Teacher (Local)
Male,30,Lecturer,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agricultural Engineering & Technology,Bangladesh,2,2,Teacher (Local)
Male,24,Masters ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Fisheries and Marine Science,Bangladesh ,0,0,Student (Local)
Male,28,Masters,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,1,No,Service (Local/abroad)
Male,29,B.Sc  Agriculture Engineering ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Engineering & Technology,Bangladesh,0,0,Service (Local/abroad)
Male,29,Assistant Teacher ,Biduyal government primary School ,Biduyal government primary School,Others,Masters/MS,Animal Husbandry,Bangladesh ,None,None,Service (Local/abroad)
Male,52,Professor ,Bangabandhu Sheikh Mujibur Rahman Agricultural University ,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),PhD,Biotechnology/Genetic Engineering,Bangladesh ,20,30,Teacher (Local)
Male,22,third year,Dhaka University,Dhaka University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Female,26,Masters,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,0,0,Student (Local)
Female,27,Master’s ,Sylhet Agricultural  University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Pharmacy,Bangladesh ,No,No,Student (Local)
Male,28,Master's,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agricultural Engineering & Technology,Bangladesh ,1,0,Student (Local)
Male,35,Masters,Sylhet agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Sylhet city,No,No,Service (Local/abroad)
Male,25,Bachelor,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,None,None,Student (Local)
Female,27,PhD student ,"University of Louisiana,Monroe ","University of Louisiana,Monroe",Abroad University,Masters/MS,Pharmacy,Bangladesh,0,23,Researcher (Local/abroad)
Male,49,Professor,BAU,Bangladesh Agricultural University,Public University (Agriculture),PhD,Microbiology,Bangladesh,70,60,Teacher (Local)
Male,46,Professor,Bangladesh Agricultural University ,Bangladesh Agricultural University,Public University (Agriculture),PhD,Agriculture,Bangladesh,50,40,Teacher (Local)
Male,27,Lecturer,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangabandhu Sheikh Mojibur Rahman Agricultural University,Public University (Agriculture),Masters/MS,Agricultural Economics & Rural Sociology,Bangladesh,2,7,Teacher (Local)
Female,22,Third,Rifah Tasnia,Rifah Tasnia,,HSC,Microbiology,Bangladesh,0,0,Student (Local)
Male,23,Third year,Sylhet agricultural university ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Engineering & Technology,Bangladesh ,0,0,Student (Local)
Male,31,Lecturer,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh ,0,2,Teacher (Local)
Male,23,3rd year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agricultural Engineering & Technology,Bangladesh ,No published yet,No published yet,Student (Local)
Female,26,Masters in microbiology,Bangladesh Agricultural University,Bangladesh Agricultural University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,1,Nill,Student (Local)
Male,30,Assistant Professor ,"Dept. of Dairy science, BAU",Bangladesh Agricultural University,Public University (Agriculture),Masters/MS,Animal Husbandry,Japan,22,4,Teacher (Local)
Female,25,Master’s ,Bangladesh Agricultural University ,Bangladesh Agricultural University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,0,0,Researcher (Local/abroad)
Female,26,Master's,Bangladesh Agriculture University  ,Bangladesh Agricultural University,Public University (Agriculture),Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Male,22,Third,sylhet agricultural university,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Engineering & Technology,Bangladesh ,Null,Null,Student (Local)
Male,44,Teacher,Prof. Dr. M. Ariful Islam,Prof. Dr. M. Ariful Islam,,PhD,Veterinary Science,Bangladesh,25,12,Teacher (Local)
Male,23,Master's,Bangladesh Agricultural University,Bangladesh Agricultural University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh,0,0,Student (Local)
Male,29,Master's,University of Kiel ,University of Kiel,Abroad University,Masters/MS,Veterinary Science,Germany ,1,4,Student (Local)
Male,22,Bechelor Third year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Engineering & Technology,Bangladesh ,None,None,Student (Local)
Male,39,Associate Professor ,Bangladesh Agricultural University ,Bangladesh Agricultural University,Public University (Agriculture),PhD,Veterinary Science,Bangladesh,36,13,Teacher (Local)
Female,25,Masters,Bangladesh Agricultural University    ,Bangladesh Agricultural University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh ,0,0,Student (Local)
Male,22,Bsc in Agricultural Engineering ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Engineering & Technology,"Mia Fazil Chist, Sylhet ",0,0,Student (Local)
Male,22,Third Year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Economics & Rural Sociology,Bangladesh ,Not Available ,Not Available ,Student (Local)
Female,21,Third year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Bangladesh ,0,0,Student (Local)
Male,34,Assistant Professor ,"Sylhet Agricultural University,",Sylhet Agricultural  University,Public University (Agriculture),PhD,Fisheries and Marine Science,Bangladesh,12,15,Teacher (Local)
Female,22,Third year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Bangladesh ,0,0,Student (Local)
Male,58,Professor,Bangladesh Agricultural University,Bangladesh Agricultural University,Public University (Agriculture),PhD,Agricultural Engineering & Technology,Bangladesh,63,52,Teacher (Local)
Male,31,Service ,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Fisheries and Marine Science,Bangladesh,7,7,Teacher (Local)
Female,23,Bachelors Third year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Bangladesh ,0,0,Student (Local)
Male,33,Associate Professor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),"Masters/MS, PhD continuing",Fisheries and Marine Science,Italy,10,7,Teacher (Local)
Female,27,Bachelor,Bangladesh Agricultural Institute,Bangladesh Agricultural University,Public University (Agriculture),Masters/MS,Microbiology,Bangladesh,1,1,Student (Local)
Female,35,Assistant Professor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),PhD,Biotechnology/Genetic Engineering,China,6,19,Teacher (Local)
Male,59,Professor,Bangladesh Agricultural University,Bangladesh Agricultural University,Public University (Agriculture),PhD,Agriculture,Bangladesh ,130,37,Teacher (Local)
Male,31,MS,Sher-e-Bangla Agricultural University,Sher -e-Bangla Agricultural University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh,1,4,Teacher (Local)
Male,28,MS,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Biotechnology/Genetic Engineering,Japan,0,06,Researcher (Local/abroad)
Female,23,Forth year,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Biochemistry,Bangladesh ,01,01,Student (Local)
Female,29,Assistant Professor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,4,9,Teacher (Local)
Female,27,Assistant Professor ,"Sher-e-Bangla Agricultural University, Dhaka-1207",Sher -e-Bangla Agricultural University,Public University (Agriculture),Masters/MS,Agriculture,Bangladesh,3,1,Teacher (Local)
Male,29,DVM Doctor,Esquire agro and Dairy,Esquire agro and Dairy,Phermaceuticals Company,Masters/MS,Veterinary Science,Bangladesh ,No,No,Service (Local/abroad)
Female,31,Masters,"Ghent University, Belgium ","Ghent University, Belgium",Abroad University,Masters/MS,Agricultural Economics & Rural Sociology,Bangladesh ,2,5,Teacher (Local)
Male,24,5th Year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Veterinary Science,Bangladesh ,None ,None ,Student (Local)
Prefer not to say,23,4th,Sylhet agricultural university,Sylhet Agricultural  University,Public University (Agriculture),HSC,Veterinary animal and biomedical sciences,Bangladesh,None,None,Student (Local)
Female,26,Lecturer,Noakhali Science and Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh,0,0,Teacher (Local)
